क्र.सं.,जिल्ला,प्रतिनिधि सभा निर्वाचन क्षेत्र,राजनीतिक दल / स्वतन्त्र,उम्मेदवारको नाम,उमेर,लिङ्ग
84,झापा,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),अर्जुन कुमार पाण्डे,56,पुरुष
85,झापा,2,उज्यालो नेपाल पार्टी,चुडा कर्ण बेघा,50,पुरुष
86,झापा,2,स्वतन्त्र,युवराज संग्रौला,66,पुरुष
87,झापा,2,स्वतन्त्र,पुण्य प्रसाद अार्चाय,56,पुरुष
88,झापा,2,स्वतन्त्र,रमेश कुमार कार्की,56,पुरुष
89,झापा,3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),हरी बहादुर राजवंशी,66,पुरुष
90,झापा,3,नेपाली काँग्रेस,राजेन्द्र कुमार घिमिरे,64,पुरुष
91,झापा,3,राष्ट्रिय प्रजातन्त्र पार्टी,राजेन्द्र प्रसाद लिङ्देन,60,पुरुष
92,झापा,3,नेपाल मजदुर किसान पार्टी,धर्म लक्ष्मी दुवाल (लघु),57,महिला
93,झापा,3,मंगोल नेशनल अर्गनाइजेसन,याम कुमार श्रेष्ठ,43,पुरुष
94,झापा,3,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,चन्द्रकला सावा,44,महिला
95,झापा,3,जनमत पार्टी,हरसलाल राजवंशी,71,पुरुष
96,झापा,3,"जनता समाजवादी पार्टी, नेपाल",कर्ण लाल राजवंशि,39,पुरुष
97,झापा,3,राष्ट्रिय स्वतन्त्र पार्टी,प्रकाश पाठक,37,पुरुष
98,झापा,3,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),विनिता कुमारी राजवंशी,45,महिला
99,झापा,3,नेशनल रिपब्लिक नेपाल,जयेन मगर,38,पुरुष
100,झापा,3,नेपाली कम्युनिष्ट पार्टी,डिल्लीराम घिमिरे,45,पुरुष
101,झापा,3,श्रम संस्कृति पार्टी,दिपक तिम्सिना,48,पुरुष
102,झापा,3,नेपाल कम्युनिस्ट पार्टी (माओवादी),सन्तोष कटुवाल,39,पुरुष
103,झापा,3,उज्यालो नेपाल पार्टी,श्यामकृष्ण पाठक,50,पुरुष
104,झापा,3,स्वतन्त्र,अभय राजवंशी,44,पुरुष
105,झापा,3,स्वतन्त्र,मानप्रकाश संग्रौला,44,पुरुष
106,झापा,4,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),लाल प्रसाद साँवा लिम्बू,58,पुरुष
107,झापा,4,नेपाली काँग्रेस,देउ कुमार थेवे,63,पुरुष
108,झापा,4,राष्ट्रिय प्रजातन्त्र पार्टी,भक्ति प्रसाद सिटौला,64,पुरुष
109,झापा,4,नेपाल मजदुर किसान पार्टी,तुल्सी लक्ष्मी दुमरु (बाटी),43,महिला
110,झापा,4,मंगोल नेशनल अर्गनाइजेसन,दिलिप धिमाल,41,पुरुष
111,झापा,4,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,किरण लिम्वु लिङदेन,49,पुरुष
112,झापा,4,जनमत पार्टी,लोथ्रो हेमरम,61,पुरुष
113,झापा,4,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),टेक बहादुर अधिकारी,52,पुरुष
114,झापा,4,"जनता समाजवादी पार्टी, नेपाल",पलटन ताजपुरिया,54,पुरुष
115,झापा,4,राष्ट्रिय स्वतन्त्र पार्टी,शम्भु प्रसाद ढकाल,50,पुरुष
116,झापा,4,नेपाली कम्युनिष्ट पार्टी,पुरुषोतम चुडाल,42,पुरुष
117,झापा,4,श्रम संस्कृति पार्टी,अमृता देवि राई,61,महिला
118,झापा,4,नेपाल कम्युनिस्ट पार्टी (माओवादी),तारा बहादुर थापा,37,पुरुष
119,झापा,4,उज्यालो नेपाल पार्टी,सन्तोष तामाङ्ग,32,पुरुष
120,झापा,4,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),त्रीनारायण राजवंशी,64,पुरुष
121,झापा,4,स्वतन्त्र,साजन माझी,28,पुरुष
122,झापा,5,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),के.पी शर्मा ओली,74,पुरुष
123,झापा,5,नेपाली काँग्रेस,मंधरा चिमरिया,63,महिला
124,झापा,5,राष्ट्रिय प्रजातन्त्र पार्टी,लक्ष्मी प्रसाद संग्रौला,54,पुरुष
125,झापा,5,मंगोल नेशनल अर्गनाइजेसन,सान बहादुर मेचे,42,पुरुष
126,झापा,5,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,सुशान्त साम्पङ राइ,27,पुरुष
127,झापा,5,जनमत पार्टी,अमृतलाल महतो,43,पुरुष
128,झापा,5,"जनता समाजवादी पार्टी, नेपाल",धिरेन सुब्बा,62,पुरुष
129,झापा,5,राष्ट्रिय स्वतन्त्र पार्टी,वालेन्द्र शाह,36,पुरुष
130,झापा,5,नेपाली कम्युनिष्ट पार्टी,रन्जित तामाङ,43,पुरुष
131,झापा,5,नेपाल जनमुक्ति पार्टी,पदम बहादुर जवेगु,48,पुरुष
132,झापा,5,राष्ट्रिय परिवर्तन पार्टी,सविन राई,35,पुरुष
133,झापा,5,श्रम संस्कृति पार्टी,समिर तामाङ्ग,33,पुरुष
134,झापा,5,नेपाल कम्युनिस्ट पार्टी (माओवादी),संजय राई,32,पुरुष
135,झापा,5,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),अमृत रसाइलि,44,पुरुष
136,झापा,5,पिपुल फर्ष्ट पार्टी,धर्मराज गुरागाई,43,पुरुष
137,झापा,5,स्वतन्त्र,डम्वर शाहु,42,पुरुष
138,झापा,5,स्वतन्त्र,मातृका भट्टराई,46,पुरुष
139,झापा,5,स्वतन्त्र,खेमनाथ शिवाकोटी,60,पुरुष
140,झापा,5,स्वतन्त्र,शोभा भण्डारी,51,महिला
141,झापा,5,स्वतन्त्र,प्रकाश नेपाल,40,पुरुष
142,झापा,5,स्वतन्त्र,अर्जुन सापकोटा,39,पुरुष
143,झापा,5,स्वतन्त्र,विपुल गुरागाई,33,पुरुष
144,झापा,5,स्वतन्त्र,रञ्जना गौतम,48,महिला
145,झापा,5,स्वतन्त्र,पुस्कर खतिवडा,30,पुरुष
146,संखुवासभा,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),अर्जुन कुमार कार्की,62,पुरुष
147,संखुवासभा,1,नेपाली काँग्रेस,दिपन कुमार श्रेष्ठ,46,पुरुष
148,संखुवासभा,1,राष्ट्रिय प्रजातन्त्र पार्टी,पदम बहादुर तामाङ,58,पुरुष
149,संखुवासभा,1,राष्ट्रिय जनमोर्चा,हेम कुमार गुरुङ्ग,69,पुरुष
150,संखुवासभा,1,नेपाल मजदुर किसान पार्टी,राज कुमार लघु,51,पुरुष
151,संखुवासभा,1,मंगोल नेशनल अर्गनाइजेसन,देवेन्द्र कुमार (रिल्ली) घले,59,पुरुष
152,संखुवासभा,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,रन माया राई(चाम्लिङ्ग),53,महिला
153,संखुवासभा,1,"जनता समाजवादी पार्टी, नेपाल",भरत कुमार राई (याक्खा),43,पुरुष
154,संखुवासभा,1,राष्ट्रिय स्वतन्त्र पार्टी,मिङमा शेर्पा,47,पुरुष
155,संखुवासभा,1,नेपाली कम्युनिष्ट पार्टी,सरिता थापा,51,महिला
156,संखुवासभा,1,नेपाल जनमुक्ति पार्टी,केशर सिं राई,70,पुरुष
157,संखुवासभा,1,राष्ट्रिय परिवर्तन पार्टी,घनश्याम वालिङ राई,49,पुरुष
158,संखुवासभा,1,नेपाली जनश्रमदान संस्कृति पार्टी,कृष्ण बहादुर राई,44,पुरुष
159,संखुवासभा,1,श्रम संस्कृति पार्टी,उमा कुमारी राई,43,महिला
160,संखुवासभा,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),पुष्प कोईराला,54,पुरुष
161,संखुवासभा,1,स्वतन्त्र,वासुदेब दाहाल,56,पुरुष
162,तेह्रथुम,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),भानु भक्त ढकाल,64,पुरुष
163,तेह्रथुम,1,नेपाली काँग्रेस,सन्तोष सुब्वा,48,पुरुष
164,तेह्रथुम,1,राष्ट्रिय प्रजातन्त्र पार्टी,होमभक्त लिम्बु (कुरुम्वाङ),65,पुरुष
165,तेह्रथुम,1,मंगोल नेशनल अर्गनाइजेसन,गंगा वहादुर चोङवाङ् लिम्बु,39,पुरुष
166,तेह्रथुम,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,शंकर मान लिम्बु,46,पुरुष
167,तेह्रथुम,1,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),टंक प्रसाद भट्टराई,63,पुरुष
168,तेह्रथुम,1,राष्ट्रिय स्वतन्त्र पार्टी,सुरेन्द्र कार्की,28,पुरुष
169,तेह्रथुम,1,नेपाली कम्युनिष्ट पार्टी,रनध्वज लिम्वु,67,पुरुष
170,तेह्रथुम,1,नेपाल जनमुक्ति पार्टी,सागर नाथ रेग्मी,67,पुरुष
171,तेह्रथुम,1,राष्ट्रिय परिवर्तन पार्टी,उषा लक्ष्‍मी तुम्वाहाङफे,26,महिला
172,तेह्रथुम,1,श्रम संस्कृति पार्टी,सुविन्द्र कुमार लिम्वु,46,पुरुष
173,तेह्रथुम,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),मन कुमार लिम्वू,30,पुरुष
174,भोजपुर,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),शेरधन राई,55,पुरुष
175,भोजपुर,1,नेपाली काँग्रेस,वालकृष्ण थापा,73,पुरुष
176,भोजपुर,1,राष्ट्रिय प्रजातन्त्र पार्टी,जनक नेपाल,42,पुरुष
177,भोजपुर,1,नेपाल मजदुर किसान पार्टी,राजा राम बासी,47,पुरुष
178,भोजपुर,1,मंगोल नेशनल अर्गनाइजेसन,चन्द्र प्रसाद राई,47,पुरुष
179,भोजपुर,1,राष्ट्रिय स्वतन्त्र पार्टी,रमेश प्रसाद ओझा,51,पुरुष
180,भोजपुर,1,आम जनता पार्टी(एकल चुनाव चिन्ह),युवराज थापा,32,पुरुष
181,भोजपुर,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),गोपाल कुमार राई,66,पुरुष
182,भोजपुर,1,नेपाली कम्युनिष्ट पार्टी,अजम्बर राई काङमाङ,58,पुरुष
183,भोजपुर,1,राष्ट्रिय परिवर्तन पार्टी,जितेन्द्र राई,29,पुरुष
184,भोजपुर,1,श्रम संस्कृति पार्टी,ध्रुवराज राई,43,पुरुष
185,भोजपुर,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),देवान राज राई,49,पुरुष
186,धनकुटा,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),राजेन्द्र कुमार राई,59,पुरुष
187,धनकुटा,1,नेपाली काँग्रेस,दिनेश राई,45,पुरुष
188,धनकुटा,1,राष्ट्रिय प्रजातन्त्र पार्टी,बिभत्सु थापा,30,पुरुष
189,धनकुटा,1,नेपाल मजदुर किसान पार्टी,उत्तम साखकर्मी,40,पुरुष
190,धनकुटा,1,मंगोल नेशनल अर्गनाइजेसन,सागर राई,31,पुरुष
191,धनकुटा,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,बाल कुमार ताम्ली,37,पुरुष
192,धनकुटा,1,"जनता समाजवादी पार्टी, नेपाल",आइत राज लिम्‍वु,50,पुरुष
193,धनकुटा,1,राष्ट्रिय स्वतन्त्र पार्टी,दिनेश भण्डारी,37,पुरुष
194,धनकुटा,1,आम जनता पार्टी(एकल चुनाव चिन्ह),प्रेम वहादुर थापा,34,पुरुष
195,धनकुटा,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),निशान राई,35,पुरुष
196,धनकुटा,1,नेपाली कम्युनिष्ट पार्टी,धर्म राज पौडेल,65,पुरुष
197,धनकुटा,1,राष्ट्रिय परिवर्तन पार्टी,शालिक राम राई,25,पुरुष
198,धनकुटा,1,श्रम संस्कृति पार्टी,सान बहादुर​ राई,46,पुरुष
199,धनकुटा,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),रविन कुमार राई,37,पुरुष
200,धनकुटा,1,स्वतन्त्र,मन कुमार योञ्जन,31,पुरुष
201,धनकुटा,1,स्वतन्त्र,,,
202,धनकुटा,1,स्वतन्त्र,जीतेन्द्र राई,54,पुरुष
203,धनकुटा,1,स्वतन्त्र,लाक्‍पा तामाङ्ग,36,पुरुष
204,मोरङ,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),घनश्याम खतीवडा,64,पुरुष
205,मोरङ,1,नेपाली काँग्रेस,खड्ग बहादुर फागु,50,पुरुष
206,मोरङ,1,राष्ट्रिय प्रजातन्त्र पार्टी,पूर्ण बहादुर वाइवा तामाङ्ग,70,पुरुष
207,मोरङ,1,मंगोल नेशनल अर्गनाइजेसन,सुरज लिम्वु,42,पुरुष
208,मोरङ,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दिल कुमारी लावती,49,महिला
209,मोरङ,1,मितेरी पार्टी नेपाल,डिल्ली राम लिम्बु,42,पुरुष
210,मोरङ,1,"जनता समाजवादी पार्टी, नेपाल",,,
211,मोरङ,1,राष्ट्रिय स्वतन्त्र पार्टी,यज्ञमणि न्याैपाने,41,पुरुष
212,मोरङ,1,नेपाली कम्युनिष्ट पार्टी,कुल प्रसाद साम्बा,47,पुरुष
213,मोरङ,1,नेपाल जनमुक्ति पार्टी,फिव राज लिम्वु,48,पुरुष
214,मोरङ,1,राष्ट्रिय परिवर्तन पार्टी,दुर्गा कुमारी तामाङ,41,महिला
215,मोरङ,1,श्रम संस्कृति पार्टी,शान्ती पाख्रिन लामा,44,महिला
216,मोरङ,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),डिल्ली राम नेपाली,57,पुरुष
217,मोरङ,1,स्वतन्त्र,याम प्रसाद दाहाल,60,पुरुष
218,मोरङ,1,स्वतन्त्र,मिलन भण्‍डारी,48,पुरुष
219,मोरङ,1,स्वतन्त्र,प्रेम वर्देवा,37,पुरुष
220,मोरङ,1,स्वतन्त्र,ईशोर वाग्ले,50,पुरुष
221,मोरङ,1,स्वतन्त्र,पशुपति घिमीरे,61,पुरुष
222,मोरङ,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),दिलीप कुमार अग्रवाल,59,पुरुष
223,मोरङ,2,नेपाली काँग्रेस,मिनेन्द्र प्रसाद रिजाल,68,पुरुष
224,मोरङ,2,राष्ट्रिय प्रजातन्त्र पार्टी,कन्स राज राजवंशी,41,पुरुष
225,मोरङ,2,मंगोल नेशनल अर्गनाइजेसन,धन बहादुर लिम्बु,35,पुरुष
226,मोरङ,2,जनमत पार्टी,घनश्याम चौधरी,44,पुरुष
227,मोरङ,2,"जनता समाजवादी पार्टी, नेपाल",विनोद कुमार सिंह गनगाई,53,पुरुष
228,मोरङ,2,राष्ट्रिय स्वतन्त्र पार्टी,कृष्ण कुमार कार्की,40,पुरुष
229,मोरङ,2,नेपाली कम्युनिष्ट पार्टी,चन्द्र वीर राई,70,पुरुष
230,मोरङ,2,राष्ट्रिय परिवर्तन पार्टी,धन वहादुर सुनुवार,38,पुरुष
231,मोरङ,2,श्रम संस्कृति पार्टी,अबुहो रैरह,37,पुरुष
232,मोरङ,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),मेघेन्द्र कुमार रोक्का,43,पुरुष
233,मोरङ,2,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",मनोज कुमार राजवंशी,34,पुरुष
234,मोरङ,2,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),माधव प्रसाद राजवंशी,53,पुरुष
235,मोरङ,2,स्वतन्त्र,अनिल कुमार साह,42,पुरुष
236,मोरङ,2,स्वतन्त्र,नरेश कुमार साह,54,पुरुष
237,मोरङ,2,स्वतन्त्र,राजन निरौला,41,पुरुष
238,मोरङ,2,स्वतन्त्र,बुधु रिषिदेव,57,पुरुष
239,मोरङ,3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),इरन कुमार राई,55,पुरुष
240,मोरङ,3,नेपाली काँग्रेस,शुनिल कुमार शर्मा,48,पुरुष
241,मोरङ,3,राष्ट्रिय प्रजातन्त्र पार्टी,प्रेम प्रसाद सुवेदी,57,पुरुष
242,मोरङ,3,नेपाल मजदुर किसान पार्टी,प्रशुराम विश्वास थारु,58,पुरुष
243,मोरङ,3,मंगोल नेशनल अर्गनाइजेसन,बिकेन्द्र राई,44,पुरुष
244,मोरङ,3,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,डिल्ली वहादुर जबेगु,55,पुरुष
245,मोरङ,3,"जनता समाजवादी पार्टी, नेपाल",मजेबुल रहमान,55,पुरुष
246,मोरङ,3,राष्ट्रिय स्वतन्त्र पार्टी,गणेश कार्की,40,पुरुष
247,मोरङ,3,आम जनता पार्टी(एकल चुनाव चिन्ह),कमल कुमार राई,55,पुरुष
248,मोरङ,3,नेपाली कम्युनिष्ट पार्टी,डा. देउमान सम्वाहाङफे,58,पुरुष
249,मोरङ,3,संयुक्त नागरिक पार्टी,विदुर अधिकारी,46,पुरुष
250,मोरङ,3,जय मातृभूमि पार्टी,नवराज मास्के,57,पुरुष
251,मोरङ,3,श्रम संस्कृति पार्टी,अमिर मगर,36,पुरुष
252,मोरङ,3,नेपाल कम्युनिस्ट पार्टी (माओवादी),खड्ग बहादुर कार्की,45,पुरुष
253,मोरङ,3,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",भुवन कुमार वाग्ले,46,पुरुष
254,मोरङ,3,उज्यालो नेपाल पार्टी,मित्रसेन योञ्जन,52,पुरुष
255,मोरङ,3,स्वतन्त्र,,,
256,मोरङ,3,स्वतन्त्र,,,
257,मोरङ,3,स्वतन्त्र,,,
258,मोरङ,3,स्वतन्त्र,तेज प्रसाद भण्डारी,43,पुरुष
259,मोरङ,3,स्वतन्त्र,गणेश मिश्र,53,पुरुष
